Date,ACA.PA,AI.PA,AIR.PA,ALO.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,DSY.PA,EDEN.PA,EL.PA,EN.PA,ENGI.PA,ERF.PA,GLE.PA,HO.PA,KER.PA,LR.PA,MC.PA,ML.PA,MT.AS,OR.PA,ORA.PA,PUB.PA,RI.PA,RMS.PA,RNO.PA,SAF.PA,SAN.PA,SGO.PA,STLAM.MI,STMPA.PA,SU.PA,TEP.PA,TTE.PA,UBLB.F,VIE.PA,VIV.PA
2023-10-03,10.640644073486328,139.51651000976562,122.95217895507812,21.690000534057617,50.05735778808594,55.0897102355957,15.156786918640137,158.2961883544922,25.72372055053711,96.17439270019531,34.98182678222656,51.01839828491211,155.758544921875,30.384382247924805,12.77133846282959,51.418212890625,21.690820693969727,127.55813598632812,400.9287414550781,85.39015197753906,686.7310180664062,27.568387985229492,22.230802536010742,385.9149169921875,9.793018341064453,67.64378356933594,150.07568359375,1692.0802001953125,34.59532928466797,143.34339904785156,97.51181030273438,52.693641662597656,16.66694450378418,39.694515228271484,152.3822479248047,109.9622802734375,56.72144317626953,2.1354496479034424,25.06999969482422,8.200141906738281
2023-10-04,10.60515022277832,139.89175415039062,122.1807632446289,21.459999084472656,49.78724670410156,54.9398078918457,15.047916412353516,161.9363250732422,25.63422203063965,96.87792205810547,35.02159118652344,51.58462142944336,156.42984008789062,30.393863677978516,12.795053482055664,51.6950798034668,21.690820693969727,125.12567901611328,400.73858642578125,83.99931335449219,693.741455078125,27.481603622436523,22.051597595214844,386.11187744140625,9.981904983520508,68.59025573730469,150.83126831054688,1717.279052734375,34.2777214050293,142.31385803222656,97.76144409179688,52.68390655517578,16.59206199645996,40.52568054199219,151.5546112060547,110.3963394165039,55.619964599609375,2.0584964752197266,25.175416946411133,8.233278274536133
2023-10-05,10.666796684265137,139.9453582763672,122.16098022460938,13.395000457763672,50.07665252685547,55.46446990966797,15.199389457702637,160.0670623779297,25.737852096557617,96.57369232177734,35.036502838134766,50.90125274658203,156.3147735595703,30.19477653503418,12.897210121154785,51.59619903564453,21.676315307617188,124.6391830444336,400.73858642578125,83.99931335449219,701.628173828125,27.703384399414062,21.86271095275879,385.4224853515625,9.978272438049316,68.45503997802734,151.06736755371094,1718.07275390625,33.7531852722168,141.779296875,98.75999450683594,52.10945510864258,16.681922912597656,40.314205169677734,151.86990356445312,110.73394775390625,55.323768615722656,2.0584964752197266,25.261667251586914,8.120226860046387
2023-10-06,10.907780647277832,141.0174560546875,122.9126205444336,13.28499984741211,49.49784469604492,56.19525146484375,15.308259963989258,162.62498474121094,26.350210189819336,97.27721405029297,36.11508560180664,51.44794845581055,157.331298828125,30.915279388427734,12.889912605285645,52.347694396972656,21.94708824157715,124.54188537597656,404.4469299316406,84.54781341552734,710.4886474609375,28.137304306030273,22.10972023010254,388.2293395996094,9.974640846252441,69.40151977539062,149.79234313964844,1742.477783203125,34.38359069824219,143.32359313964844,98.12629699707031,53.034420013427734,16.846662521362305,41.36669158935547,153.2886962890625,113.43477630615234,55.85137176513672,2.0584964752197266,25.376665115356445,8.112430572509766
2023-10-09,10.704158782958984,141.42843627929688,121.72582244873047,13.069999694824219,50.84839630126953,55.30519485473633,15.331927299499512,161.3952178955078,26.260711669921875,97.1821517944336,35.60810089111328,51.52604675292969,156.60247802734375,30.801517486572266,13.023080825805664,51.457767486572266,21.62312889099121,130.37977600097656,399.02703857421875,83.88176727294922,691.9888916015625,28.09873390197754,22.066131591796875,381.1875915527344,9.987354278564453,69.0731430053711,148.42286682128906,1714.1044921875,34.08523178100586,144.39273071289062,98.49115753173828,52.63522720336914,16.846662521362305,40.90438461303711,150.3525848388672,112.95248413085938,56.8232536315918,2.0584964752197266,25.47249984741211,8.131921768188477
2023-10-10,10.861078262329102,144.50180053710938,124.21809387207031,13.65999984741211,52.20859909057617,56.054718017578125,15.147319793701172,165.77320861816406,26.679941177368164,98.98851013183594,36.572364807128906,52.228939056396484,159.1917266845703,31.142805099487305,13.289416313171387,52.07082748413086,21.86005401611328,131.741943359375,412.7669372558594,85.19426727294922,714.1885986328125,28.513368606567383,22.47296905517578,391.7255554199219,9.990985870361328,70.19346618652344,151.11459350585938,1763.509521484375,35.35566711425781,148.88705444335938,98.58716583251953,53.68675994873047,17.368967056274414,41.97162628173828,154.39219665527344,117.00373077392578,57.28606033325195,2.096973180770874,26.03791618347168,8.285905838012695
2023-10-11,10.907780647277832,145.89553833007812,124.93017578125,13.404999732971191,52.71988296508789,56.438846588134766,15.062115669250488,167.29812622070312,26.906042098999023,100.30048370361328,36.83082580566406,52.30704116821289,159.69039916992188,30.70671272277832,13.437177658081055,51.358882904052734,21.8552188873291,135.2447052001953,406.9191589355469,85.80152893066406,668.0365600585938,28.426584243774414,22.380943298339844,390.7899169921875,9.998250961303711,70.83087921142578,151.39793395996094,1737.120361328125,36.058258056640625,150.53036499023438,99.20166015625,53.58939743041992,17.726530075073242,41.686370849609375,154.94393920898438,115.12279510498047,57.10093688964844,2.07773494720459,25.654582977294922,8.340481758117676
2023-10-12,10.905912399291992,146.14569091796875,124.37633514404297,13.274999618530273,52.276126861572266,55.68932342529297,15.081050872802734,166.85540771484375,26.71762466430664,99.61598205566406,36.721473693847656,53.06850814819336,159.6136932373047,30.403343200683594,13.389748573303223,51.2006721496582,21.729501724243164,138.94204711914062,396.31707763671875,86.36962127685547,657.2288208007812,28.59050941467285,21.465559005737305,387.2444763183594,9.936500549316406,74.13388061523438,150.40625,1712.1202392578125,35.87057876586914,150.62936401367188,99.8353500366211,53.063629150390625,17.69845199584961,41.740474700927734,153.9980926513672,114.88164520263672,57.545230865478516,2.116211414337158,25.549165725708008,8.430144309997559
2023-10-13,10.648115158081055,144.16229248046875,120.6181411743164,12.760000228881836,52.092838287353516,54.002906799316406,14.939043998718262,163.0185089111328,26.387893676757812,97.84764099121094,35.69757080078125,52.71706008911133,157.36964416503906,30.526588439941406,13.477310180664062,49.094505310058594,21.08641815185547,140.49880981445312,386.80853271484375,83.8621826171875,643.2078857421875,27.992664337158203,21.029659271240234,378.823974609375,10.025493621826172,72.76245880126953,148.37564086914062,1692.2786865234375,34.888877868652344,147.58033752441406,99.25926208496094,51.80762481689453,17.62544059753418,40.4863395690918,150.8649139404297,113.24185943603516,58.470848083496094,2.096973180770874,25.204164505004883,8.274210929870605
2023-10-16,10.777013778686523,143.48330688476562,121.58736419677734,12.75,52.21824645996094,54.1809196472168,15.071582794189453,163.4612274169922,26.397314071655273,97.33425903320312,35.62301254272461,51.779869079589844,158.82730102539062,30.47918701171875,13.506497383117676,49.836116790771484,21.226640701293945,139.33123779296875,389.8512878417969,83.8621826171875,649.5367431640625,28.30122947692871,21.460716247558594,380.89215087890625,9.929234504699707,72.56929779052734,150.35902404785156,1690.2945556640625,35.13430404663086,148.94647216796875,99.73933410644531,52.22629165649414,17.50375747680664,40.59453582763672,149.9190673828125,114.5440444946289,58.3690299987793,2.0584964752197266,25.012500762939453,8.313194274902344
