Date,AC.PA,ACA.PA,AI.PA,AIR.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,DSY.PA,EDEN.PA,EL.PA,EN.PA,ENGI.PA,ERF.PA,GLE.PA,HO.PA,KER.PA,LR.PA,MC.PA,ML.PA,MT.AS,OR.PA,ORA.PA,PUB.PA,RI.PA,RMS.PA,RNO.PA,SAF.PA,SAN.PA,SGO.PA,STLAM.MI,STMPA.PA,SU.PA,TEP.PA,TTE.PA,UBLB.F,VIE.PA,VIV.PA
2020-12-31,28.102901458740234,7.492944240570068,103.12579345703125,86.3084487915039,46.81835174560547,33.53364944458008,12.160026550292969,119.00894165039062,15.259550094604492,70.59085083007812,32.618736267089844,42.97459411621094,117.1852798461914,27.11736488342285,9.262179374694824,65.34320068359375,13.990221977233887,68.42408752441406,532.77734375,66.0972671508789,479.4923400878906,22.861997604370117,17.695972442626953,289.962890625,7.486408233642578,32.79270553588867,141.11508178710938,857.2725830078125,34.153541564941406,112.70955657958984,67.42929077148438,33.4124755859375,,29.275108337402344,109.4986572265625,247.8905029296875,26.913236618041992,,16.549692153930664,9.328153610229492
2021-01-04,27.542741775512695,7.420338153839111,104.81575012207031,86.4141845703125,47.37571334838867,33.459747314453125,12.558714866638184,120.46370697021484,15.201676368713379,71.77082824707031,33.08009338378906,44.15984344482422,118.28778076171875,27.415531158447266,9.47301959991455,68.77080535888672,13.727216720581055,68.67988586425781,520.4977416992188,68.41519927978516,480.61859130859375,23.254104614257812,18.477670669555664,290.8025817871094,7.652533054351807,33.299560546875,142.8249969482422,861.9507446289062,34.153541564941406,112.90397644042969,67.68632507324219,34.18764114379883,9.458270072937012,30.686656951904297,112.69197082519531,256.2053527832031,26.870500564575195,,16.648942947387695,9.310473442077637
2021-01-05,27.599708557128906,7.4457502365112305,103.701904296875,86.35650634765625,47.54988479614258,33.38972854614258,13.009408950805664,118.82123565673828,15.195419311523438,70.55614471435547,32.7954216003418,43.465362548828125,117.04747009277344,27.504180908203125,9.33245849609375,70.20848083496094,13.814337730407715,69.62995147705078,512.2513427734375,68.36087036132812,475.081298828125,22.76397132873535,18.511411666870117,287.81707763671875,7.629461288452148,33.09038543701172,139.85508728027344,847.9161987304688,34.927154541015625,113.14698791503906,67.67774963378906,34.098548889160156,9.432844161987305,30.957365036010742,111.6275405883789,250.44894409179688,27.577518463134766,,16.557964324951172,9.21500015258789
2021-01-06,28.549129486083984,7.74706506729126,103.932373046875,86.68335723876953,47.96791076660156,35.23347854614258,13.295425415039062,117.36647033691406,15.844528198242188,73.2631607055664,32.14756393432617,43.094974517822266,118.05809020996094,28.438980102539062,9.709752082824707,68.97074890136719,14.757865905761719,68.91739654541016,515.5678100585938,70.0087890625,471.4210510253906,22.535240173339844,18.989429473876953,288.09698486328125,7.7602081298828125,34.039730072021484,137.83016967773438,845.9669799804688,34.99401092529297,113.0497817993164,67.26649475097656,35.639976501464844,9.234525680541992,31.005704879760742,114.72830200195312,240.85491943359375,28.78955078125,,17.079017639160156,9.359978675842285
2021-01-07,28.197843551635742,7.805150508880615,104.73893737792969,86.15463256835938,47.21895217895508,36.02699279785156,13.364762306213379,115.95863342285156,15.942286491394043,73.3846206665039,32.049407958984375,43.511661529541016,118.19589233398438,28.882204055786133,9.669062614440918,68.40898895263672,14.910740852355957,68.1500244140625,517.5397338867188,72.07318115234375,483.62188720703125,23.297670364379883,19.481504440307617,286.9774475097656,7.9294114112854,34.4178581237793,140.12510681152344,853.1791381835938,36.45050048828125,112.56375122070312,66.58963012695312,37.84965133666992,9.39979076385498,31.32476234436035,117.08858489990234,244.50982666015625,29.10420799255371,,17.343679428100586,9.253896713256836
2021-01-08,28.501659393310547,7.74706506729126,105.35345458984375,86.61607360839844,46.17390060424805,35.22958755493164,13.208752632141113,119.1966552734375,15.92664623260498,74.32168579101562,32.81505584716797,44.604312896728516,120.26306915283203,28.729093551635742,9.842914581298828,68.77080535888672,14.611572265625,68.77123260498047,525.5169677734375,73.2864761352539,493.0071105957031,23.52640151977539,19.026920318603516,285.76458740234375,7.8178911209106445,35.14194107055664,142.15000915527344,864.8746337890625,34.99401092529297,113.09838104248047,67.50639343261719,38.73174285888672,9.225626945495605,31.904844284057617,118.33814239501953,247.0681610107422,29.12363624572754,,18.19556427001953,9.197319984436035
2021-01-11,27.92251205444336,7.641786575317383,104.62371063232422,86.3084487915039,45.877803802490234,34.992313385009766,13.282423973083496,115.72399139404297,15.836708068847656,71.5625991821289,32.66781234741211,43.983909606933594,118.83901977539062,28.310043334960938,9.739343643188477,70.22752380371094,14.414318084716797,68.69815063476562,522.6488037109375,72.72510528564453,490.2853698730469,23.36302375793457,18.891014099121094,284.6450500488281,7.740980625152588,34.59485626220703,141.11508178710938,865.6541748046875,34.63585662841797,113.24418640136719,67.89195251464844,38.25060272216797,9.140451431274414,32.27223205566406,117.36627197265625,246.79408264160156,28.680776596069336,,17.94744300842285,9.243288040161133
2021-01-12,28.292783737182617,7.739805221557617,102.93374633789062,86.48149108886719,45.80813217163086,35.27237319946289,13.403763771057129,116.42790222167969,15.789785385131836,72.08318328857422,32.14756393432617,42.63198471069336,118.05809020996094,28.197223663330078,9.990872383117676,69.97045135498047,14.49650764465332,68.35099792480469,515.8367309570312,72.199951171875,484.0911865234375,24.125452041625977,19.07378387451172,280.35345458984375,7.6948347091674805,34.820125579833984,140.53005981445312,862.1455078125,35.23755645751953,113.0497817993164,67.84912109375,38.31297302246094,9.3273286819458,32.5042724609375,116.44066619873047,249.44384765625,28.785663604736328,,18.691808700561523,9.1937837600708
2021-01-13,27.988969802856445,7.699871063232422,103.932373046875,85.66434478759766,46.74867630004883,35.02731704711914,15.202200889587402,117.92959594726562,15.692028999328613,72.89875030517578,32.21627426147461,42.67828369140625,118.19589233398438,28.04410743713379,10.124035835266113,70.73213958740234,14.506369590759277,68.31446838378906,511.6240234375,73.10538482666016,480.61859130859375,23.70067024230957,18.668874740600586,281.2864074707031,7.825582504272461,34.514404296875,142.1949920654297,864.8746337890625,34.20606994628906,111.3000717163086,67.71202087402344,38.75847244262695,9.287919044494629,32.562278747558594,116.81090545654297,257.21038818359375,29.08478546142578,,18.691808700561523,9.250360488891602
2021-01-14,28.587106704711914,7.565550327301025,103.20260620117188,89.6442642211914,46.08681106567383,35.109004974365234,14.820845603942871,117.0379638671875,15.676386833190918,75.06784057617188,32.18682861328125,43.335723876953125,116.22061157226562,28.42286491394043,10.242401123046875,71.96035766601562,14.598420143127441,70.39732360839844,510.54833984375,72.48968505859375,476.7706298828125,23.929397583007812,18.975372314453125,278.02105712890625,7.657148838043213,35.08562469482422,140.3950653076172,874.2308349609375,33.8383674621582,113.68160247802734,69.37420654296875,38.77629470825195,9.631488800048828,32.243228912353516,115.23738098144531,259.31195068359375,29.36837387084961,,19.006092071533203,9.282185554504395
