Date,AC.PA,ACA.PA,AI.PA,AIR.PA,BN.PA,BNP.PA,BVI.PA,CA.PA,CAP.PA,CS.PA,DG.PA,DSY.PA,EDEN.PA,EL.PA,EN.PA,ENGI.PA,ERF.PA,GLE.PA,HO.PA,KER.PA,LR.PA,MC.PA,ML.PA,MT.AS,OR.PA,ORA.PA,PUB.PA,RI.PA,RMS.PA,RNO.PA,SAF.PA,SAN.PA,SGO.PA,STLAM.MI,STMPA.PA,SU.PA,TEP.PA,TTE.PA,UBLB.F,VIE.PA
2024-12-02,43.459999084472656,12.5600004196167,159.5399932861328,150.52000427246094,64.83999633789062,55.939998626708984,28.81999969482422,13.710000038146973,150.85000610351562,32.540000915527344,97.26000213623047,31.950000762939453,31.18000030517578,230.8000030517578,27.670000076293945,14.960000038146973,46.689998626708984,24.440000534057617,141.00001525878906,220.6917724609375,94.94000244140625,606.0999755859375,30.479999542236328,24.170000076293945,333.5,9.704999923706055,102.6500015258789,105.8499984741211,2160.33349609375,39.70000076293945,221.8000030517578,91.81999969482422,84.5199966430664,11.746000289916992,24.4360294342041,243.10000610351562,87.5999984741211,52.2981071472168,3.759999990463257,27.329999923706055
2024-12-03,43.7599983215332,12.510000228881836,160.02000427246094,152.0800018310547,64.80000305175781,55.779998779296875,28.979999542236328,13.859999656677246,152.10000610351562,32.290000915527344,97.16000366210938,32.380001068115234,30.399999618530273,228.5,27.790000915527344,14.944999694824219,46.029998779296875,24.274999618530273,143.0,219.10585021972656,94.73999786376953,609.2000122070312,30.850000381469727,23.950000762939453,329.6000061035156,9.706000328063965,102.8499984741211,105.25,2188.298828125,39.709999084472656,227.3000030517578,91.66999816894531,86.12000274658203,11.934000015258789,24.232603073120117,243.85000610351562,85.83999633789062,52.62862014770508,3.640000104904175,27.399999618530273
2024-12-04,44.0,12.635000228881836,161.16000366210938,154.22000122070312,64.73999786376953,56.5,29.3799991607666,14.029999732971191,153.89999389648438,32.83000183105469,98.62000274658203,33.58000183105469,29.6200008392334,229.5,27.950000762939453,15.005000114440918,46.61000061035156,24.559999465942383,141.9499969482422,223.07066345214844,96.36000061035156,610.2000122070312,30.940000534057617,23.6299991607666,333.25,9.413999557495117,100.5999984741211,104.30000305175781,2197.287841796875,41.63999938964844,228.60000610351562,91.3499984741211,86.26000213623047,12.09000015258789,24.53030014038086,249.10000610351562,86.5,52.434200286865234,3.6600000858306885,27.3700008392334
2024-12-05,46.099998474121094,12.925000190734863,161.66000366210938,153.5399932861328,64.9800033569336,57.970001220703125,29.520000457763672,14.050000190734863,155.0,33.650001525878906,100.9000015258789,33.88999938964844,30.600000381469727,229.8000030517578,28.600000381469727,15.265000343322754,46.61000061035156,25.614999771118164,142.14999389648438,222.8228759765625,95.77999877929688,609.2000122070312,31.56999969482422,24.030000686645508,336.1499938964844,9.652000427246094,101.25,107.3499984741211,2185.302734375,42.61000061035156,211.89999389648438,91.80000305175781,88.0199966430664,12.54800033569336,24.684112548828125,248.64999389648438,87.41999816894531,52.55085372924805,3.7200000286102295,28.110000610351562
2024-12-06,46.02000045776367,13.03499984741211,162.05999755859375,155.16000366210938,64.86000061035156,58.56999969482422,29.65999984741211,14.145000457763672,157.4499969482422,34.0,101.0999984741211,34.7400016784668,31.200000762939453,230.60000610351562,28.850000381469727,15.25,47.11000061035156,25.934999465942383,141.8000030517578,236.10501098632812,96.83999633789062,630.4000244140625,31.959999084472656,24.149999618530273,343.6000061035156,9.727999687194824,104.4000015258789,108.8499984741211,2256.215087890625,43.689998626708984,212.89999389648438,92.18000030517578,90.0199966430664,12.947999954223633,24.882577896118164,251.6999969482422,88.18000030517578,52.71610641479492,3.740000009536743,28.25
2024-12-09,45.650001525878906,13.119999885559082,161.66000366210938,156.9600067138672,64.30000305175781,60.060001373291016,29.540000915527344,14.414999961853027,160.0500030517578,34.06999969482422,101.1500015258789,35.220001220703125,31.65999984741211,229.89999389648438,28.8799991607666,15.28499984741211,47.79999923706055,26.7450008392334,139.8000030517578,244.33201599121094,96.95999908447266,652.5999755859375,32.380001068115234,24.6200008392334,349.70001220703125,9.75,104.80000305175781,111.80000305175781,2275.191650390625,43.7599983215332,210.39999389648438,91.81999969482422,89.87999725341797,13.145999908447266,25.115774154663086,248.3000030517578,89.72000122070312,53.42572784423828,3.7799999713897705,28.329999923706055
2024-12-10,45.58000183105469,13.180000305175781,160.0399932861328,156.1999969482422,64.16000366210938,59.70000076293945,29.68000030517578,14.1899995803833,159.9499969482422,33.70000076293945,100.94999694824219,34.97999954223633,31.530000686645508,226.60000610351562,28.959999084472656,15.154999732971191,47.75,26.674999237060547,137.5,238.92994689941406,95.68000030517578,636.0,32.4900016784668,24.579999923706055,345.25,9.706000328063965,103.0,112.3499984741211,2231.245849609375,44.099998474121094,205.89999389648438,91.75,89.18000030517578,13.27400016784668,24.813112258911133,242.75,90.08000183105469,52.83275604248047,3.5399999618530273,28.030000686645508
2024-12-11,46.2599983215332,13.1899995803833,159.9600067138672,156.24000549316406,64.76000213623047,59.59000015258789,30.520000457763672,14.055000305175781,159.35000610351562,33.66999816894531,101.0999984741211,35.29999923706055,31.68000030517578,231.3000030517578,28.75,15.194999694824219,47.83000183105469,26.829999923706055,138.6999969482422,237.54225158691406,97.05999755859375,643.7999877929688,32.31999969482422,24.59000015258789,341.5,9.552000045776367,106.80000305175781,111.94999694824219,2254.217529296875,44.08000183105469,210.3000030517578,91.29000091552734,89.62000274658203,13.194000244140625,24.813112258911133,247.75,87.63999938964844,51.98704147338867,3.619999885559082,28.030000686645508
2024-12-12,46.790000915527344,13.145000457763672,159.89999389648438,159.89999389648438,65.0,58.91999816894531,30.15999984741211,14.09000015258789,157.0,33.560001373291016,100.75,35.20000076293945,30.639999389648438,231.1999969482422,28.860000610351562,15.09000015258789,48.220001220703125,27.309999465942383,139.3000030517578,239.87159729003906,95.68000030517578,646.0,32.5099983215332,24.280000686645508,344.5,9.562000274658203,106.5999984741211,113.9000015258789,2281.184326171875,44.11000061035156,208.10000610351562,90.69000244140625,89.0999984741211,13.208000183105469,24.85776710510254,244.6999969482422,86.33999633789062,51.8801155090332,3.7799999713897705,28.079999923706055
2024-12-13,47.0,13.164999961853027,159.6999969482422,160.22000122070312,65.23999786376953,58.939998626708984,30.1200008392334,14.029999732971191,156.0,34.099998474121094,101.19999694824219,34.970001220703125,30.700000762939453,231.1999969482422,29.06999969482422,15.225000381469727,47.970001220703125,27.174999237060547,138.0,241.903564453125,95.33999633789062,639.0,32.779998779296875,23.729999542236328,343.3500061035156,9.609999656677246,106.80000305175781,113.94999694824219,2271.196533203125,44.77000045776367,209.10000610351562,89.16999816894531,88.77999877929688,13.347999572753906,24.684112548828125,244.6999969482422,85.33999633789062,51.87039566040039,3.5999999046325684,27.860000610351562
