Symbol,NumShares
AC.PA,122373.0
ACA.PA,1729925.0
AI.PA,265185.0
AIR.PA,383365.0
BN.PA,347422.0
BNP.PA,600042.0
CA.PA,234200.0
CAP.PA,52517.0
CS.PA,1290424.0
DG.PA,251393.0
DSY.PA,428570.0
EDEN.PA,58407.0
EL.PA,272636.0
EN.PA,179301.0
ENGI.PA,1319230.0
ERF.PA,64961.0
GLE.PA,552268.0
HO.PA,166254.0
KER.PA,25059.0
LR.PA,110526.0
MC.PA,156985.0
ML.PA,302231.0
MT.AS,318842.0
OR.PA,174587.0
ORA.PA,1427680.0
PUB.PA,111392.0
RI.PA,61686.0
RMS.PA,53654.0
RNO.PA,155058.0
SAF.PA,258921.0
SAN.PA,607264.0
SGO.PA,291448.0
STLAM.MI,585388.0
STMPA.PA,157933.0
SU.PA,265106.0
TEP.PA,18130.0
TTE.PA,918522.0
UBLB.F,1468573.0
VIE.PA,362387.0
VIV.PA,116629.0
