Symbol,NumShares
ACA.PA,1730436.0
AI.PA,265241.0
AIR.PA,383177.0
ALO.PA,324609.0
BN.PA,347736.0
BNP.PA,599609.0
CA.PA,234325.0
CAP.PA,52545.0
CS.PA,1290283.0
DG.PA,251513.0
DSY.PA,428703.0
EDEN.PA,58421.0
EL.PA,272663.0
EN.PA,179269.0
ENGI.PA,1320073.0
ERF.PA,64980.0
GLE.PA,552552.0
HO.PA,166339.0
KER.PA,25082.0
LR.PA,110602.0
MC.PA,156953.0
ML.PA,302313.0
MT.AS,319130.0
OR.PA,174644.0
ORA.PA,1428969.0
PUB.PA,111466.0
RI.PA,61728.0
RMS.PA,53656.0
RNO.PA,155130.0
SAF.PA,258935.0
SAN.PA,607751.0
SGO.PA,291446.0
STLAM.MI,585917.0
STMPA.PA,157989.0
SU.PA,264888.0
TEP.PA,18126.0
TTE.PA,919025.0
UBLB.F,1469899.0
VIE.PA,362603.0
VIV.PA,116690.0
