Symbol,NumShares
AC.PA,99358.0
ACA.PA,1281048.0
AI.PA,248712.0
AIR.PA,288143.0
BN.PA,291268.0
BNP.PA,453199.0
BVI.PA,186886.0
CA.PA,282298.0
CAP.PA,67590.0
CS.PA,951677.0
DG.PA,251229.0
DSY.PA,537848.0
EDEN.PA,109375.0
EL.PA,185043.0
EN.PA,168524.0
ENGI.PA,1097417.0
ERF.PA,79281.0
GLE.PA,323322.0
HO.PA,92296.0
KER.PA,46071.0
LR.PA,110053.0
MC.PA,184775.0
ML.PA,290128.0
MT.AS,298931.0
OR.PA,232395.0
ORA.PA,1215566.0
PUB.PA,107088.0
RI.PA,110955.0
RMS.PA,43378.0
RNO.PA,118807.0
SAF.PA,160586.0
SAN.PA,474100.0
SGO.PA,204645.0
STLAM.MI,1015183.0
STMPA.PA,349356.0
SU.PA,238201.0
TEP.PA,24774.0
TTE.PA,836860.0
UBLB.F,1184977.0
VIE.PA,310993.0
