Symbol,NumShares
AC.PA,122411.0
ACA.PA,1730893.0
AI.PA,265180.0
AIR.PA,383337.0
BN.PA,347617.0
BNP.PA,599809.0
CA.PA,234245.0
CAP.PA,52546.0
CS.PA,1290493.0
DG.PA,251427.0
DSY.PA,428556.0
EDEN.PA,58440.0
EL.PA,272570.0
EN.PA,179304.0
ENGI.PA,1319968.0
ERF.PA,64998.0
GLE.PA,552649.0
HO.PA,166282.0
KER.PA,25073.0
LR.PA,110588.0
MC.PA,156899.0
ML.PA,302210.0
MT.AS,319149.0
OR.PA,174584.0
ORA.PA,1429056.0
PUB.PA,111428.0
RI.PA,61721.0
RMS.PA,53638.0
RNO.PA,155076.0
SAF.PA,258956.0
SAN.PA,607420.0
SGO.PA,291412.0
STLAM.MI,585716.0
STMPA.PA,158021.0
SU.PA,264928.0
TEP.PA,18132.0
TTE.PA,918873.0
UBLB.F,1469395.0
VIE.PA,362479.0
VIV.PA,116694.0
