Symbol,NumShares
AC.PA,122409.0
ACA.PA,1729378.0
AI.PA,265262.0
AIR.PA,383283.0
BN.PA,347524.0
BNP.PA,599973.0
CA.PA,234182.0
CAP.PA,52532.0
CS.PA,1289820.0
DG.PA,251466.0
DSY.PA,428694.0
EDEN.PA,58424.0
EL.PA,272606.0
EN.PA,179256.0
ENGI.PA,1319614.0
ERF.PA,64980.0
GLE.PA,552500.0
HO.PA,166303.0
KER.PA,25069.0
LR.PA,110559.0
MC.PA,156973.0
ML.PA,302319.0
MT.AS,319192.0
OR.PA,174612.0
ORA.PA,1428096.0
PUB.PA,111398.0
RI.PA,61704.0
RMS.PA,53624.0
RNO.PA,155069.0
SAF.PA,258997.0
SAN.PA,607440.0
SGO.PA,291467.0
STLAM.MI,585558.0
STMPA.PA,157979.0
SU.PA,264922.0
TEP.PA,18131.0
TTE.PA,918789.0
UBLB.F,1469001.0
VIE.PA,362493.0
VIV.PA,116663.0
