Symbol,MarketCap
AC.PA,9856394240
AI.PA,100058210304
AIR.PA,127077138432
MT.AS,19242387456
CS.PA,85974188032
BNP.PA,84344619008
EN.PA,13908132864
CAP.PA,23398760448
CA.PA,8808937472
ACA.PA,49825865728
BN.PA,47186915328
DSY.PA,45190070272
EDEN.PA,7406819840
ENGI.PA,45956210688
EL.PA,113828880384
ERF.PA,9090037760
RMS.PA,244847345664
KER.PA,22811443200
OR.PA,185806995456
LR.PA,24442025984
MC.PA,270875639808
ML.PA,22683002880
ORA.PA,32933515264
RI.PA,22689048576
PUB.PA,21677240320
RNO.PA,13208604672
SAF.PA,98024333312
SGO.PA,45354496000
SAN.PA,125531553792
SU.PA,113782865920
GLE.PA,30789695488
STLAM.MI,27805646848
STMPA.PA,16887044096
TEP.PA,5538388480
HO.PA,52274704384
TTE.PA,125635018752
UBLB.F,10981606400
VIE.PA,23790503936
DG.PA,65818513408
VIV.PA,2638831104
