Symbol,MarketCap
AI.PA,100046675968
AIR.PA,126980546560
ALO.PA,9477750784
MT.AS,19234646016
CS.PA,85930672128
BNP.PA,84287561728
EN.PA,13900600320
CAP.PA,23390011392
CA.PA,8808937472
ACA.PA,49795612672
BN.PA,47186915328
DSY.PA,45190070272
EDEN.PA,7401882112
ENGI.PA,45944086528
EL.PA,113828880384
ERF.PA,9084492800
RMS.PA,244847345664
KER.PA,22811443200
OR.PA,185806995456
LR.PA,24436783104
MC.PA,270875639808
ML.PA,22683002880
ORA.PA,32920229888
RI.PA,22683987968
PUB.PA,21677240320
RNO.PA,13208604672
SAF.PA,97982668800
SGO.PA,45344165888
SAN.PA,125556760576
SU.PA,113726791680
GLE.PA,30773733376
STLAM.MI,27805646848
STMPA.PA,16877833216
TEP.PA,5534608896
HO.PA,52274704384
TTE.PA,125612769280
UBLB.F,10981606400
VIE.PA,23790503936
DG.PA,65818513408
VIV.PA,2637832704
