Symbol,MarketCap
AC.PA,9858841600
AI.PA,100115865600
AIR.PA,127093243904
MT.AS,19250126848
CS.PA,85952421888
BNP.PA,84390256640
EN.PA,13908132864
CAP.PA,23398760448
CA.PA,8808937472
ACA.PA,49795612672
BN.PA,47186915328
DSY.PA,45216817152
EDEN.PA,7406819840
ENGI.PA,45956210688
EL.PA,113874534400
ERF.PA,9090037760
RMS.PA,244847345664
KER.PA,22813988864
OR.PA,185887145984
LR.PA,24442025984
MC.PA,271075196928
ML.PA,22697269248
ORA.PA,32920229888
RI.PA,22689048576
PUB.PA,21677240320
RNO.PA,13211507712
SAF.PA,98065989632
SGO.PA,45375156224
SAN.PA,125569368064
SU.PA,113810907136
GLE.PA,30789695488
STLAM.MI,27805646848
STMPA.PA,16887044096
TEP.PA,5539648512
HO.PA,52295270400
TTE.PA,125657268224
UBLB.F,10981606400
VIE.PA,23797805056
DG.PA,65846534144
VIV.PA,2638831104
