Asset,Weights
ACA.PA,0.01572952234554876
AI.PA,0.0
AIR.PA,0.0
ALO.PA,0.0
BN.PA,0.017902698416905904
BNP.PA,0.0
CA.PA,0.0
CAP.PA,0.010283550455270296
CS.PA,0.020956137363484676
DG.PA,0.0
DSY.PA,0.10522614992034898
EDEN.PA,0.0
EL.PA,0.0
EN.PA,0.0
ENGI.PA,0.004242708956256932
ERF.PA,0.0
GLE.PA,0.001898913925008505
HO.PA,0.20370127138595365
KER.PA,0.0
LR.PA,0.0
MC.PA,0.0
ML.PA,0.0
MT.AS,0.0
OR.PA,0.0
ORA.PA,0.12489866823413073
PUB.PA,0.02646803938800515
RI.PA,0.051595796945054645
RMS.PA,0.13139020692164113
RNO.PA,0.0
SAF.PA,0.0
SAN.PA,0.027309912986662355
SGO.PA,0.0
STLAM.MI,0.0
STMPA.PA,0.0
SU.PA,0.0
TEP.PA,0.0
TTE.PA,0.25839642255275747
UBLB.F,0.0
VIE.PA,0.0
VIV.PA,0.0
