Asset,Weights
AC.PA,0.0
ACA.PA,0.04799281803459095
AI.PA,0.024826556012901
AIR.PA,0.022327198662551014
BN.PA,0.04118318417378259
BNP.PA,0.05132567808122972
BVI.PA,0.014890157467608908
CA.PA,0.04451774420286129
CAP.PA,0.0018137648140398924
CS.PA,0.05170018236148186
DG.PA,0.04799667696472484
DSY.PA,0.0
EDEN.PA,0.021066748188705256
EL.PA,0.0
EN.PA,0.07179529977039517
ENGI.PA,0.04711539256532593
ERF.PA,0.03930552319640468
GLE.PA,0.046877059045830755
HO.PA,0.14624846549244233
KER.PA,0.0
LR.PA,0.0
MC.PA,0.0
ML.PA,0.00686907705295537
MT.AS,0.010959090587272626
OR.PA,0.017334728524409836
ORA.PA,0.043667757211112025
PUB.PA,0.0
RI.PA,0.0
RMS.PA,0.0
RNO.PA,0.00120684008327138
SAF.PA,0.01518788167981629
SAN.PA,0.019985128781698967
SGO.PA,0.005374577185266293
STLAM.MI,0.0
STMPA.PA,0.0
SU.PA,0.0
TEP.PA,0.02842266874361791
TTE.PA,0.04911621151016039
UBLB.F,0.007986342345986077
VIE.PA,0.07291102356171332
