Asset,Weights
AC.PA,0.0
ACA.PA,0.019217667360799356
AI.PA,0.0
AIR.PA,0.0
BN.PA,0.017446999773050795
BNP.PA,0.0
CA.PA,0.0
CAP.PA,0.029666348511708948
CS.PA,0.04497263452178775
DG.PA,0.0
DSY.PA,0.07646522291745925
EDEN.PA,0.0
EL.PA,0.0
EN.PA,0.0
ENGI.PA,0.0
ERF.PA,0.0
GLE.PA,0.0
HO.PA,0.20063067319104264
KER.PA,0.0
LR.PA,0.0
MC.PA,0.0
ML.PA,0.0
MT.AS,0.0
OR.PA,0.0
ORA.PA,0.09635935113503158
PUB.PA,0.06612375647907476
RI.PA,0.039111607572685655
RMS.PA,0.13974008916579164
RNO.PA,0.0
SAF.PA,0.0
SAN.PA,0.03682099317059924
SGO.PA,0.0
STLAM.MI,0.0
STMPA.PA,0.0
SU.PA,0.0
TEP.PA,0.0
TTE.PA,0.23344465580547144
UBLB.F,0.0
VIE.PA,0.0
VIV.PA,0.0
