Asset,Weights
AC.PA,0.0
ACA.PA,0.0
AI.PA,0.0
AIR.PA,0.0
BN.PA,0.10103286768498564
BNP.PA,0.0
BVI.PA,0.0
CA.PA,0.0
CAP.PA,0.0
CS.PA,0.03303982649871803
DG.PA,0.0
DSY.PA,0.010634436468191219
EDEN.PA,0.0
EL.PA,0.06496339514170338
EN.PA,0.0
ENGI.PA,0.0
ERF.PA,0.0
GLE.PA,0.0
HO.PA,0.1519760681511945
KER.PA,0.0
LR.PA,0.0
MC.PA,0.0
ML.PA,0.0
MT.AS,0.0
OR.PA,0.0
ORA.PA,0.08255599128177186
PUB.PA,0.12759301715009352
RI.PA,0.0
RMS.PA,0.11616479499493176
RNO.PA,0.0
SAF.PA,0.0
SAN.PA,0.04972798696917203
SGO.PA,0.0
STLAM.MI,0.0
STMPA.PA,0.0
SU.PA,0.07290624431020884
TEP.PA,0.0
TTE.PA,0.1894053714531957
UBLB.F,0.0
VIE.PA,0.0
