Asset,Weights
AC.PA,0.0
ACA.PA,0.0
AI.PA,0.0
AIR.PA,0.0
BN.PA,0.06649383679815053
BNP.PA,0.0
CA.PA,0.0
CAP.PA,0.025162724607523793
CS.PA,0.05217686686017565
DG.PA,0.0
DSY.PA,0.04824794068226952
EDEN.PA,0.0
EL.PA,0.005025671583092719
EN.PA,0.0
ENGI.PA,0.0
ERF.PA,0.0
GLE.PA,0.0
HO.PA,0.17067466183083768
KER.PA,0.0
LR.PA,0.0
MC.PA,0.0
ML.PA,0.0
MT.AS,0.0
OR.PA,0.0
ORA.PA,0.06055389124031814
PUB.PA,0.09087381805614032
RI.PA,0.0
RMS.PA,0.14095720163969652
RNO.PA,0.0
SAF.PA,0.0
SAN.PA,0.08875215593515619
SGO.PA,0.0
STLAM.MI,0.0
STMPA.PA,0.0
SU.PA,0.02230828669684727
TEP.PA,0.0
TTE.PA,0.22877294386493938
UBLB.F,0.0
VIE.PA,0.0
VIV.PA,0.0
