Symbol,Weights
AC.PA,0.004110287630426687
AI.PA,0.041726011979728125
AIR.PA,0.05299337440129316
MT.AS,0.008024409861701559
CS.PA,0.03585273001457252
BNP.PA,0.035173171421523215
EN.PA,0.005799933026342714
CAP.PA,0.009757689606856839
CA.PA,0.0036734799610008023
ACA.PA,0.020778251619235088
BN.PA,0.019677763456696903
DSY.PA,0.01884504437772107
EDEN.PA,0.003088772549864135
ENGI.PA,0.01916453824113362
EL.PA,0.04746862063704081
ERF.PA,0.003790703664572523
RMS.PA,0.10210559680550547
KER.PA,0.009512768111144564
OR.PA,0.07748474507748022
LR.PA,0.010192749459725637
MC.PA,0.11295984764573877
ML.PA,0.009459206266347248
ORA.PA,0.013733848009724872
RI.PA,0.009461727426609412
PUB.PA,0.009039785805999035
RNO.PA,0.005508217617573478
SAF.PA,0.040877849940094954
SGO.PA,0.018913612762818693
SAN.PA,0.05234883875540878
SU.PA,0.04744943180615655
GLE.PA,0.01283983791915884
STLAM.MI,0.011595437795246633
STMPA.PA,0.007042190761868188
TEP.PA,0.0023096042130150893
HO.PA,0.021799459881767767
TTE.PA,0.05239198544119624
UBLB.F,0.004579520649138984
VIE.PA,0.00992105344700155
DG.PA,0.027447463537535553
VIV.PA,0.0011004384140336902
