Symbol,Weights
AC.PA,0.004179481475637064
AI.PA,0.04374099891801646
AIR.PA,0.047099322612852886
MT.AS,0.007945667888646745
CS.PA,0.0376522876662131
BNP.PA,0.03500078684723945
EN.PA,0.006161533643580837
CAP.PA,0.009369763872482992
CA.PA,0.003747534735752322
ACA.PA,0.021579104034967354
BN.PA,0.020719439898427824
DSY.PA,0.018870702424310683
EDEN.PA,0.003288341498342876
ENGI.PA,0.019874384018364402
EL.PA,0.04931515936433353
ERF.PA,0.003918472821891379
RMS.PA,0.10502088371045569
KER.PA,0.008832694247660955
OR.PA,0.08000882146175077
LR.PA,0.010746162337983567
MC.PA,0.10607610148223229
ML.PA,0.009442244471966347
ORA.PA,0.014641461462915306
RI.PA,0.010167961912917549
PUB.PA,0.009327518883185748
RNO.PA,0.005553513410765251
SAF.PA,0.03902386695007589
SGO.PA,0.018844144893930027
SAN.PA,0.04852159121899067
SU.PA,0.05041001786548658
GLE.PA,0.013438050267406377
STLAM.MI,0.010461215215806497
STMPA.PA,0.0070162399976704025
TEP.PA,0.0023006519261554864
HO.PA,0.022762383574643545
TTE.PA,0.05013506256108345
UBLB.F,0.004474075034923416
VIE.PA,0.00991518901811186
DG.PA,0.029339714272212113
VIV.PA,0.0010774521006103102
